address,cap,partner
0x75f7f3569CAbe54eEAF28fc1f6178B22193F69D5,1,true
0xe1bdFF947510a8e9623cF7f3c6cF6fE5e37C16b8,1,true
0x2f8ad3A412BC50896dC1cB163095e8Eb72e0DB6F,1,true
0xf2DB455EA55fB0DB4854402c614E163A82bD9492,1,true
0x38E3c92a543ed6C87eaEd33bCba04B9d30291220,1,true
0x94583b40Caa9CBDfe07b72D7F22Fb9A53F4F8586,1,true
0x33941c8C3C773aaC7D2B8359F685b28127b8bcDb,1,true
0x7FEaD2800F7fB3492aBA499C3a5423E6A1e786Ff,1,true
0x2e15DBb547Fa71edF46f406db180F50AE72b3472,1,true
0xD3b52a5CF36434eDc77bb2bc0a4478Ac8E61617a,1,true
0x34231a6b9a27dBF7295989952673B34c405bDb13,5,true
0xc767778E9B7841C029966f05B9762d3342e0510A,5,true
0x73459d2DD83FcbB49A115D35D0BC98159B17De42,5,true
0xaBCEFc06d23f20Dde941fA77779Fb486664B2bF2,5,true
0x807fb817247cfC3b5984B2C698e4addA174D49f8,1,true
0x8fE03EC491307A5d8962cD8b7Ff1aC25c70A85b4,1,true
0xbfFf9fFfF8462BFF5Fe37f40dF10559A4372Fd56,1,true
0x1A3F38eB9fA7257d86671223F092Ad76cC53DE21,1,true
0xA1Edb97A33b5718D2633b6ee144C8B5abfaE0b63,1,true
0xc11B328f29dacB5C691f9E991647b981b6ad5FE4,1,true
0x8c583eB83d178dCFee797f434FA48a6121413BF9,1,true
0xC680418C513fED5c3C0b460c6170E0c581D7a393,1,true
0x4E4A8e410E2b550e031bF2a940532CDA407cB005,1,true
0x09B7d8d0EfAdA60f4e3dDedd27A519C78eDD8157,1,true
0xB490C548fb6Ab1a296A5a09a8006797CcdC7072D,1,true
0x99e866eaE7fCf07ACaDf818A5AD22c456Ac95Fd3,1,true
0xaF0606C779062b1C8F2eC52Bb8bbfB6Dc8Fecb78,1,true
0x3B44dCbc6EbdE6c5D37b95E806f73aa38797cF51,1,true
0xB0D326D82226E472969705C9Ec319434c3088330,1,true
0x7d809e275339bc698746B88787BADFc613e080f5,1,true
0xeeE540fD4e5997B4E9379f4a90BA6964D2842022,1,true
0xff8EB4940300A762F7cb0DE23b8C3A6932034F17,1,true
0xC4d86336F46bad82F30Ad97C94AeaaD68f95C0D2,1,true
0x8630915f01Ad49C9cD38FFFf38932d3710519ec5,1,true
0x2868E66Cc9eA304F9ABFf50351DEd2cC26623e47,1,true
0x633C654227BA653c940344BBCa286E0F431FFF47,1,true
0x8a2F408F0AeE7C1555E4CC52602f6C70908be6e2,1,true
0x305b30f77892e93293CBf63135dC27f4E0B27106,1,true
0x9e4d9CD5C54006e8cF7a4Ba2d7Fdf4d7ccfd1542,1,true
0x636E879c08563C95bc2dC3396610bc74031Fb898,1,true
0xd264105CD81f3350174e1D82BEb06d912B484cd8,1,true
0x5E232591dD398062fd893d03B1525FA1848d569E,1,true
0x7A954fA29BB509EFf8dB17902447e96789306d19,1,true
0xDa28ddF14Ec309F3f506315Da623618F8D829F10,1,true
0x7C20200a202C125c51F1C559fAec845cf947D348,1,true
0xf2A9FD844DFECE32598B50f77482BD70B178A90b,1,true
